action_type,assay_chembl_id,assay_type,bao_endpoint,bao_format,bao_label,molecule_chembl_id,parent_molecule_chembl_id,record_id,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,cleaned_smiles,InChIkey,IC50,PIC50
,CHEMBL643384,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL337714,CHEMBL337714,252544,1,1,=,IC50,nM,500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,PUBHZTNJRAPIMN-UHFFFAOYSA-N,500.0,6.30103
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL54126,CHEMBL278020,301730,1,1,=,IC50,nM,22.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,ALWKGYPQUAPLQC-UHFFFAOYSA-N,22.0,7.193875
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL65667,CHEMBL65667,112508,1,1,=,IC50,nM,3800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,QRIDTWRYUXZUDP-CTNGQTDRSA-N,3800.0,5.42022
,CHEMBL645001,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL431519,CHEMBL431519,112505,1,1,=,IC50,nM,40.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,VUNAAQIKHSGPRS-IAPPQJPRSA-N,40.0,7.39794
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154972,CHEMBL154972,301758,1,1,=,IC50,nM,73.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,LFWBAKOCTYKRQI-UHFFFAOYSA-N,73.0,7.13668
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL152722,CHEMBL152722,301736,1,1,=,IC50,nM,3100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,AZHRUDQFJNVULC-UHFFFAOYSA-N,3100.0,5.50864
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL349127,CHEMBL349127,301754,1,1,=,IC50,nM,4500.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,KDQSNHIQQSQHHK-UHFFFAOYSA-N,4500.0,5.34679
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL156659,CHEMBL156659,301735,1,1,=,IC50,nM,1200.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,LQDVCSIWQVRECJ-UHFFFAOYSA-N,1200.0,5.92082
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL155322,CHEMBL155322,301745,1,1,=,IC50,nM,540.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,PHELSVIUQBPBLW-UHFFFAOYSA-N,540.0,6.26761
,CHEMBL636834,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL154211,CHEMBL154211,301732,1,1,=,IC50,nM,30.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,OKPXRTAMAGECKK-UHFFFAOYSA-N,30.0,7.52288
